WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,Aguimes,ES,27.9054,-15.4461,79.66,42,99,25.32,overcast clouds
339,Lagoa,PT,39.05,-27.9833,68.99,82,100,22.46,light rain
340,Itoman,JP,26.1247,127.6694,79.18,89,40,17.27,scattered clouds
341,Clyde River,CA,70.4692,-68.5914,26.83,74,100,19.57,overcast clouds
342,Beringovskiy,RU,63.05,179.3167,43.95,90,100,28.36,moderate rain
343,Nangan,PH,6.4726,126.1244,79.05,84,100,10.63,overcast clouds
344,Kansanshi,ZM,-12.0951,26.4273,73.38,21,14,4.18,few clouds
345,Nuuk,GL,64.1835,-51.7216,36.75,91,97,3.56,overcast clouds
346,Buala,SB,-8.145,159.5921,80.76,70,100,10.6,overcast clouds
347,Gat,IL,31.61,34.7642,79.39,100,0,7.9,clear sky
348,Shache,CN,38.4167,77.2406,63.72,27,100,5.5,overcast clouds
349,Hanyang,CN,32.1371,105.5126,53.15,90,100,5.97,overcast clouds
350,Mangrol,IN,21.1167,70.1167,81.45,74,13,12.5,few clouds
351,Hualmay,PE,-11.0964,-77.6139,65.62,67,19,11.65,few clouds
352,Hadejia,NG,12.4498,10.0444,87.1,42,97,18.48,overcast clouds
353,Samalkha,IN,29.2333,77.0167,78.01,74,11,6.96,few clouds
354,Muscat,OM,23.6139,58.5922,84.92,59,9,4.14,clear sky
355,Syracuse,IT,37.0881,15.2792,70.97,59,3,6.93,clear sky
356,Orsha,BY,54.5153,30.4053,46.08,96,100,9.89,overcast clouds
357,Grindavik,IS,63.8424,-22.4338,46.87,71,75,16.11,broken clouds
358,Moron,AR,-34.6534,-58.6198,73.8,52,100,8.21,overcast clouds
359,Turan,VN,16.0678,108.2208,78.78,94,40,2.3,scattered clouds
360,San Quintin,MX,30.4833,-115.95,71.15,77,90,5.35,overcast clouds
361,Pevek,RU,69.7008,170.3133,28.65,67,100,8.3,overcast clouds
362,Tokur,RU,53.1333,132.9,18.37,84,32,3.96,scattered clouds
363,Pontian Kecil,MY,1.4801,103.3899,77.32,83,100,3.24,moderate rain
364,Sao Borja,BR,-28.6606,-56.0044,77.59,55,66,3.62,broken clouds
365,Kulykiv,UA,50.3142,24.8176,51.98,78,100,8.66,overcast clouds
366,Gurupa,BR,-1.405,-51.64,99.48,30,37,5.48,scattered clouds
367,Sao Filipe,CV,14.8961,-24.4956,80.35,76,62,6.17,broken clouds
368,Makakilo City,US,21.3469,-158.0858,73.72,85,38,8.03,scattered clouds
369,Chumikan,RU,54.7183,135.315,32.56,54,87,16.67,overcast clouds
370,Lithgow,AU,-33.4833,150.15,46.35,99,100,6.73,light rain
371,Port Elizabeth,ZA,-33.918,25.5701,64.09,81,0,13.8,clear sky
372,Berdigestyakh,RU,62.0989,126.6992,25.9,94,99,6.29,overcast clouds
373,Wasilla,US,61.5814,-149.4394,50.94,65,75,8.05,broken clouds
374,Faanui,PF,-16.4833,-151.75,77.41,75,20,23.78,light rain
375,Sassandra,CI,4.95,-6.0833,78.87,80,72,7.78,broken clouds
376,Zalantun,CN,48.0,122.7167,29.8,38,0,5.39,clear sky
377,Shubarshi,KZ,48.5872,57.1869,53.73,21,91,11.07,overcast clouds
378,Awbari,LY,26.5921,12.7805,80.69,27,2,12.17,clear sky
379,Karratha,AU,-20.7377,116.8463,73.09,48,40,13.42,scattered clouds
380,Bereda,ES,43.2686,-7.5406,67.41,90,72,4.29,broken clouds
381,Gaozhou,CN,21.9392,110.8461,75.13,93,6,3.24,clear sky
382,Soyo,AO,-6.1349,12.3689,76.69,80,89,9.04,overcast clouds
383,Luanda,AO,-8.8368,13.2343,77.0,78,0,11.5,clear sky
384,Lorengau,PG,-2.0226,147.2712,81.63,78,89,10.67,overcast clouds
385,Kokologo,BF,12.1897,-1.8856,90.91,46,86,5.37,overcast clouds
386,Te Anau,NZ,-45.4167,167.7167,26.89,93,72,1.92,broken clouds
